Item_ID,type_1,sti_1,div_1,sti_2,Relation_1,type_2,sti_3,div_2,sti_4,Relation_2,type_3,sti_5,div_3,sti_6,Relation_3,type_4,sti_7,div_4,sti_8,Relation_4,type_q,sti_q1,div_q,sti_q2,Question_1,sti_q3,div_q2,sti_q4,Question_2
1,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
2,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
3,0,1,は,2,と同じである,0,2,は,3,の反対である,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
4,0,1,は,2,と同じである,0,2,は,3,の反対である,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
5,0,1,は,2,の反対である,0,2,は,3,の反対である,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
6,0,1,は,2,の反対である,0,2,は,3,の反対である,,,,,,,,,,,0,3,は,1,の反対ですか？,,,,
7,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,,,,,,0,1,は,4,と同じですか？,,,,
8,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,,,,,,0,4,は,1,の反対ですか？,,,,
9,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,,,,,,0,1,は,4,と同じですか？,,,,
10,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,,,,,,0,4,は,1,の反対ですか？,,,,
11,0,1,は,2,の反対である,0,2,は,3,の反対である,0,3,は,4,の反対である,,,,,,0,1,は,4,と同じですか？,,,,
12,0,1,は,2,の反対である,0,2,は,3,の反対である,0,3,は,4,の反対である,,,,,,0,4,は,1,の反対ですか？,,,,
13,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,0,4,は,5,と同じである,0,1,は,5,と同じですか？,,,,
14,0,1,は,2,の反対である,0,2,は,3,と同じである,0,3,は,4,の反対である,0,4,は,5,と同じである,0,5,は,1,の反対ですか？,,,,
15,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,0,4,は,5,の反対である,0,1,は,5,と同じですか？,,,,
16,0,1,は,2,と同じである,0,2,は,3,の反対である,0,3,は,4,と同じである,0,4,は,5,の反対である,0,5,は,1,の反対ですか？,,,,
17,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
18,0,1,は,2,と同じである,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と違いますか？,,,,
19,0,1,は,2,と同じである,0,2,は,3,と違っている,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
20,0,1,は,2,と同じである,0,2,は,3,と違っている,,,,,,,,,,,0,1,は,3,と違いますか？,,,,
21,0,1,は,2,と違っている,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
22,0,1,は,2,と違っている,0,2,は,3,と同じである,,,,,,,,,,,0,1,は,3,と違いますか？,,,,
23,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,,,,,,0,4,は,1,と同じですか？,,,,
24,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,,,,,,0,1,は,4,と違いますか？,,,,
25,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,,,,,,0,1,は,4,と同じですか？,,,,
26,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,,,,,,0,4,は,1,と違いますか？,,,,
27,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,0,4,は,5,と同じである,0,5,は,1,と同じですか？,,,,
28,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,0,4,は,5,と同じである,0,1,は,5,と違いますか？,,,,
29,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,5,は,1,と同じですか？,,,,
30,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,1,は,5,と同じですか？,,,,
31,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,5,は,1,と違いますか？,,,,
32,0,1,は,2,と同じである,0,2,は,3,と違っている,0,3,は,4,と同じである,0,4,は,5,と同じである,0,1,は,5,と違いますか？,,,,
33,0,1,は,2,より多い,0,2,は,3,より多い,,,,,,,,,,,0,1,は,3,より多いですか？,,,,
34,0,1,は,2,より多い,0,2,は,3,より多い,,,,,,,,,,,0,3,は,1,より少ないですか？,,,,
35,0,1,は,2,より多い,1,2,は,3,より少ない,,,,,,,,,,,0,1,は,3,より多いですか？,,,,
36,0,1,は,2,より多い,1,2,は,3,より少ない,,,,,,,,,,,0,3,は,1,より少ないですか？,,,,
37,0,1,は,2,より少ない,0,2,は,3,より少ない,,,,,,,,,,,0,1,は,3,より多いですか？,,,,
38,0,1,は,2,より少ない,0,2,は,3,より少ない,,,,,,,,,,,0,3,は,1,より少ないですか？,,,,
39,0,1,は,2,より多い,1,2,は,3,より少ない,0,3,は,4,より多い,,,,,,0,1,は,4,より多いですか？,,,,
40,0,1,は,2,より多い,1,2,は,3,より少ない,0,3,は,4,より多い,,,,,,0,4,は,1,より少ないですか？,,,,
41,0,1,は,2,より少ない,1,2,は,3,より多い,1,3,は,4,より多い,,,,,,0,1,は,4,より多いですか？,,,,
42,0,1,は,2,より少ない,1,2,は,3,より多い,1,3,は,4,より多い,,,,,,0,4,は,1,より少ないですか？,,,,
43,0,1,は,2,より少ない,0,2,は,3,より少ない,0,3,は,4,より少ない,,,,,,0,1,は,4,より多いですか？,,,,
44,0,1,は,2,より少ない,0,2,は,3,より少ない,0,3,は,4,より少ない,,,,,,0,4,は,1,より少ないですか？,,,,
45,0,1,は,2,より少ない,1,2,は,3,より多い,0,3,は,4,より少ない,1,4,は,5,より多い,0,1,は,5,より多いですか？,,,,
46,0,1,は,2,より少ない,1,2,は,3,より多い,0,3,は,4,より少ない,1,4,は,5,より多い,0,5,は,1,より少ないですか？,,,,
47,0,1,は,2,より多い,1,2,は,3,より少ない,0,3,は,4,より多い,1,4,は,5,より少ない,0,1,は,5,より多いですか？,,,,
48,0,1,は,2,より多い,1,2,は,3,より少ない,0,3,は,4,より多い,1,4,は,5,より少ない,0,5,は,1,より少ないですか？,,,,
49,0,1,は,2,より前である,0,2,は,3,より前である,,,,,,,,,,,0,3,は,1,の前ですか？,,,,
50,0,1,は,2,より前である,0,2,は,3,より前である,,,,,,,,,,,0,1,は,3,の後ですか？,,,,
51,0,1,は,2,より後である,0,2,は,3,より後である,,,,,,,,,,,0,3,は,1,の前ですか？,,,,
52,0,1,は,2,より後である,0,2,は,3,より後である,,,,,,,,,,,0,1,は,3,の後ですか？,,,,
53,0,1,は,2,より後である,1,2,は,3,より前である,,,,,,,,,,,0,3,は,1,の前ですか？,,,,
54,0,1,は,2,より後である,1,2,は,3,より前である,,,,,,,,,,,0,1,は,3,の後ですか？,,,,
55,0,1,は,2,より前である,1,2,は,3,より後である,0,3,は,4,より前である,,,,,,0,4,は,1,の前ですか？,,,,
56,0,1,は,2,より前である,1,2,は,3,より後である,0,3,は,4,より前である,,,,,,0,1,は,4,の後ですか？,,,,
57,0,1,は,2,より後である,0,2,は,3,より後である,1,3,は,4,より前である,,,,,,0,4,は,1,の前ですか？,,,,
58,0,1,は,2,より後である,0,2,は,3,より後である,1,3,は,4,より前である,,,,,,0,1,は,4,の後ですか？,,,,
59,0,1,は,2,より後である,1,2,は,3,より前である,0,3,は,4,より後である,,,,,,0,4,は,1,の前ですか？,,,,
60,0,1,は,2,より後である,1,2,は,3,より前である,0,3,は,4,より後である,,,,,,0,1,は,4,の後ですか？,,,,
61,0,1,は,2,より後である,1,2,は,3,より前である,0,3,は,4,より後である,1,4,は,5,より前である,0,5,は,1,の前ですか？,,,,
62,0,1,は,2,より後である,1,2,は,3,より前である,0,3,は,4,より後である,1,4,は,5,より前である,0,1,は,5,の後ですか？,,,,
63,0,1,は,2,より前である,1,2,は,3,より後である,0,3,は,4,より前である,1,4,は,5,より後である,0,5,は,1,の前ですか？,,,,
64,0,1,は,2,より前である,1,2,は,3,より後である,0,3,は,4,より前である,1,4,は,5,より後である,0,1,は,5,の後ですか？,,,,
65,0,1,は,2,を含んでいる,,,,,,,,,,,,,,,,0,2,は,1,を含んでいますか？,,,,
66,0,1,は,2,の中にある,,,,,,,,,,,,,,,,0,2,は,1,を含んでいますか？,,,,
67,0,1,は,2,を含んでいる,0,2,は,3,を含んでいる,,,,,,,,,,,0,3,は,1,の中にありますか？,,,,
68,0,1,は,2,を含んでいる,1,2,は,3,の中にある,,,,,,,,,,,0,3,は,1,を含んでいますか？,,,,
69,0,1,は,2,の中にある,1,2,は,3,を含んでいる,,,,,,,,,,,0,1,は,3,の中にありますか？,,,,
70,0,1,は,2,の中にある,0,2,は,3,の中にある,,,,,,,,,,,0,3,は,1,を含んでいますか？,,,,
71,0,1,は,2,を含んでいる,1,2,は,3,の中にある,0,3,は,4,を含んでいる,,,,,,0,1,は,4,を含んでいますか？,,,,
72,0,1,は,2,を含んでいる,1,2,は,3,の中にある,0,3,は,4,を含んでいる,,,,,,0,4,は,1,の中にありますか？,,,,
73,0,1,は,2,の中にある,1,2,は,3,を含んでいる,1,3,は,4,を含んでいる,,,,,,0,4,は,1,を含んでいますか？,,,,
74,0,1,は,2,の中にある,1,2,は,3,を含んでいる,1,3,は,4,を含んでいる,,,,,,0,1,は,4,の中にありますか？,,,,
75,0,1,は,2,の中にある,0,2,は,3,の中にある,1,3,は,4,を含んでいる,,,,,,0,1,は,4,を含んでいますか？,,,,
76,0,1,は,2,の中にある,0,2,は,3,の中にある,1,3,は,4,を含んでいる,,,,,,0,4,は,1,の中にありますか？,,,,
77,0,1,は,2,を含んでいる,1,2,は,3,の中にある,0,3,は,4,を含んでいる,1,4,は,5,の中にある,0,1,は,5,を含んでいますか？,,,,
78,0,1,は,2,を含んでいる,1,2,は,3,の中にある,0,3,は,4,を含んでいる,0,4,は,5,を含んでいる,0,5,は,1,を含んでいますか？,,,,
79,0,1,は,2,の中にある,1,2,は,3,を含んでいる,1,3,は,4,を含んでいる,1,4,は,5,を含んでいる,0,5,は,1,の中にありますか？,,,,
80,0,1,は,2,の中にある,0,2,は,3,の中にある,1,3,は,4,を含んでいる,1,4,は,5,を含んでいる,0,1,は,5,の中にありますか？,,,,
81,0,1,は,2,と同じである,0,3,は,4,と同じである,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
82,0,1,は,2,と同じである,0,3,は,4,と同じである,,,,,,,,,,,0,1,から,2,は、,3,から,4,の反対ですか？
83,0,1,は,2,と同じである,0,3,は,4,と同じである,,,,,,,,,,,0,2,から,1,は、,3,から,4,の反対ですか？
84,0,1,は,2,と同じである,0,3,は,4,の反対である,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
85,0,1,は,2,と同じである,0,3,は,4,の反対である,,,,,,,,,,,0,2,から,1,は、,3,から,4,の反対ですか？
86,0,1,は,2,の反対である,0,3,は,4,の反対である,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
87,0,1,は,2,の反対である,0,3,は,4,の反対である,,,,,,,,,,,0,1,から,2,は、,3,から,4,の反対ですか？
88,0,1,は,2,の反対である,0,3,は,4,の反対である,,,,,,,,,,,0,2,から,1,は、,3,から,4,の反対ですか？
89,0,1,は,2,より多い,0,3,は,4,より多い,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
90,0,1,は,2,より多い,0,3,は,4,より多い,,,,,,,,,,,0,1,から,2,は、,3,から,4,の反対ですか？
91,0,1,は,2,より多い,0,3,は,4,より多い,,,,,,,,,,,0,2,から,1,は、,3,から,4,の反対ですか？
92,0,1,は,2,より多い,0,3,は,4,より少ない,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
93,0,1,は,2,より多い,0,3,は,4,より少ない,,,,,,,,,,,0,2,から,1,は、,3,から,4,の反対ですか？
94,0,1,は,2,より少ない,0,3,は,4,より少ない,,,,,,,,,,,0,2,から,1,は、,3,から,4,と同じですか？
95,0,1,は,2,より少ない,0,3,は,4,より少ない,,,,,,,,,,,0,1,から,2,は、,3,から,4,の反対ですか？
96,0,1,は,2,より少ない,0,3,は,4,より少ない,,,,,,,,,,,0,2,から,1,は、,3,から,4,の反対ですか？
97,0,1,はここにある　,2,はそこにある,2,,,,N,0,,,,もしここがそこで、そこがここだとしたら、,,,,,,0,1,はここにありますか？,,,,,,
98,0,1,はここにある　,2,はそこにある,2,,,,N,0,,,,もしここがそこで、そこがここだとしたら、,,,,,,0,2,はここにありますか？,,,,,,
99,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここだとしたら、,,,,,,0,1,は今ここにありますか？,,,,,,
100,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここだとしたら、,,,,,,0,1,はその時そこにありましたか？,,,,,,
101,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今だとしたら、,,,,,,0,1,はその時ここにありましたか？,,,,,,
102,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今だとしたら、,,,,,,0,1,は今そこにありますか？,,,,,,
103,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここで、,3,1,で、,2,だとしたら、,0,1,はその時ここにありましたか？,,,,,,
104,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここで、,3,1,で、,2,だとしたら、,0,1,はその時そこにありましたか？,,,,,,
105,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここで、,3,1,で、,2,だとしたら、,0,2,は今ここにありますか？,,,,,,
106,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここで、,3,1,で、,2,だとしたら、,0,2,はその時ここにありましたか？,,,,,,
107,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もしここがそこで、そこがここで、,3,1,で、,2,だとしたら、,0,2,はその時そこにありましたか？,,,,,,
108,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今で、,3,1,で、,2,だとしたら、,0,1,はその時ここにありましたか？,,,,,,
109,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今で、,3,1,で、,2,だとしたら、,0,1,は今そこにありますか？,,,,,,
110,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今で、,3,1,で、,2,だとしたら、,0,1,はその時そこにありましたか？,,,,,,
111,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今で、,3,1,で、,2,だとしたら、,0,2,はその時ここにありましたか？,,,,,,
112,0,1,は今ここにある　,2,はその時そこにあった,2,,,,N,0,,,,もし今がその時で、その時が今で、,3,1,で、,2,だとしたら、,0,2,はその時そこにありましたか？,,,,,,
113,0,1,足す,2,は,0,3,足す,4,と同じである,2,,,,N,0,1,は,3,より多い,0,2,は,4,より多いですか？,,,,
114,0,1,足す,2,は,0,3,足す,4,と同じである,2,,,,N,0,1,は,3,より多い,0,4,は,2,より少ないですか？,,,,
115,0,1,足す,2,は,0,3,足す,4,と同じである,2,,,,N,0,1,は,3,より少ない,0,2,は,4,より多いですか？,,,,
116,0,1,足す,2,は,0,3,足す,4,と同じである,2,,,,N,0,1,は,3,より少ない,0,4,は,2,より少ないですか？,,,,
117,0,1,引く,2,は,0,3,引く,4,と同じである,2,,,,N,0,1,は,3,より多い,0,2,は,4,より少ないですか？,,,,
118,0,1,引く,2,は,0,3,引く,4,と同じである,2,,,,N,0,1,は,3,より多い,0,4,は,2,より多いですか？,,,,
119,0,1,引く,2,は,0,3,引く,4,と同じである,2,,,,N,0,1,は,3,より少ない,0,2,は,4,より少ないですか？,,,,
120,0,1,引く,2,は,0,3,引く,4,と同じである,2,,,,N,0,1,は,3,より少ない,0,4,は,2,より多いですか？,,,,
121,0,1,足す,2,は,0,3,足す,4,より多い,2,,,,N,0,1,は,3,と同じである,0,2,は,4,より少ないですか？,,,,
122,0,1,足す,2,は,0,3,足す,4,より多い,2,,,,N,0,1,は,3,と同じである,0,4,は,2,より多いですか？,,,,
123,0,1,引く,2,は,0,3,引く,4,より多い,2,,,,N,0,1,は,3,と同じである,0,2,は,4,より少ないですか？,,,,
124,0,1,引く,2,は,0,3,引く,4,より多い,2,,,,N,0,1,は,3,と同じである,0,4,は,2,より多いですか？,,,,
125,0,1,足す,2,は,0,3,足す,4,より少ない,2,,,,N,0,2,は,4,と同じである,0,1,は,3,より多いですか？,,,,
126,0,1,足す,2,は,0,3,足す,4,より少ない,2,,,,N,0,2,は,4,と同じである,0,3,は,1,より少ないですか？,,,,
127,0,1,引く,2,は,0,3,引く,4,より少ない,2,,,,N,0,2,は,4,と同じである,0,1,は,3,より多いですか？,,,,
128,0,1,引く,2,は,0,3,引く,4,より少ない,2,,,,N,0,2,は,4,と同じである,0,3,は,1,より少ないですか？,,,,