row_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7
1,ラアナ,ジイグ,ルウゴ,メエセ,ヨオデ,モッチ,ベンハ
2,ワアツ,チイナ,ブウヌ,ケエバ,ポオニ,コッギ,ルンデ
3,タアレ,ピイヌ,グウホ,ヘエス,ソオミ,セッギ,サンハ
4,ガアギ,ジイト,ズウゼ,ネエテ,ロオワ,ヌッピ,ゲング
5,サアベ,ミイタ,スウセ,テエヒ,ドオノ,メッチ,ヨンバ
6,カアク,ミイセ,ブウハ,テエベ,ゴオラ,キッダ,ズンム
7,ヤアチ,リイニ,ムウラ,ベエモ,トオナ,ブッメ,サンレ
8,ラアネ,ミイメ,ルウス,ケエノ,ゴオブ,ヌッグ,ヤンハ
9,バアト,ミイマ,フウホ,ネエガ,ヨオツ,エッル,レンス
10,パアセ,ピイツ,ルウミ,ネエマ,ポオム,ザッチ,エンメ
11,ザアミ,ヒイズ,ユウヌ,セエモ,ノオマ,レッダ,リンプ
12,ダアロ,リイズ,グウキ,ネエピ,ノオハ,ペッモ,デンメ
13,ザアギ,ヒイデ,ズウジ,ネエゴ,ノオケ,バッロ,トンワ
14,ヤアヘ,ヒイボ,グウゼ,テエス,ノオヌ,フッチ,ヨント
15,ワアニ,ビイカ,グウソ,ネエト,ボオス,アッペ,ゲンダ
16,ザアド,ジイダ,ヌウム,ゼエケ,ボオデ,ウッビ,メンフ
17,タアワ,ジイソ,ムウデ,メエゼ,ヨオケ,バッヒ,スンヘ
18,ハアコ,ニイロ,ツウシ,セエン,ゾオザ,ダッレ,ヤンボ
19,ザアゼ,ギイト,ムウズ,レエヌ,ホオグ,イッハ,ネンフ
20,ダアホ,ジイザ,フウツ,メエレ,モオセ,ヤッド,ズンミ
21,ナアギ,シイヒ,ブウグ,デエガ,ゾオタ,ヘッレ,ポンロ
22,ヤアヌ,チイマ,ツウホ,ヘエゼ,トオギ,ピッサ,ダンム
23,サアピ,ギイリ,スウソ,メエヘ,コオネ,ユッブ,ホンパ
24,カアボ,ビイニ,クウザ,テエブ,トオキ,メッズ,バンダ
25,ワアベ,ギイズ,ブウニ,ケエテ,トオヒ,ルッホ,ランタ
26,ワアビ,ジイリ,ヌウタ,ヘエル,モオソ,ケッゼ,サンデ
27,バアビ,ミイネ,ユウス,ヘエフ,ゾオク,アッヌ,コンホ
28,ハアカ,ミイニ,ブウク,デエゼ,ドオギ,オッヌ,ザンホ
29,ガアサ,シイス,ヌウク,ケエピ,ヨオポ,デッマ,ワンセ
30,カアソ,ギイブ,グウズ,テエリ,ボオツ,ノッケ,ロンビ
31,ヤアカ,キイジ,ユウホ,ヘエセ,ソオデ,レッコ,ピンミ
32,ガアリ,ギイビ,ルウセ,ベエテ,ソオヌ,ネップ,ムンパ
33,ナアミ,ヒイザ,グウブ,ケエポ,ゾオテ,ダッヘ,オンノ
34,パアテ,キイナ,ブウカ,ペエマ,ゾオサ,ヌッセ,ムンボ
35,ワアゾ,ギイサ,フウル,ベエネ,ポオン,ニッバ,クンヌ
36,ヤアブ,ヒイゼ,ムウシ,テエボ,モオゾ,レッサ,コンラ
37,パアサ,ニイフ,ルウマ,ゼエク,モオレ,タッロ,ポンネ
38,ヤアサ,チイバ,スウガ,ヘエボ,コオゾ,トッマ,ゼンネ
39,ザアス,キイパ,ムウダ,ペエク,ノオビ,カッテ,ホンセ
40,バアボ,ビイシ,ツウプ,ヘエト,ソオン,アッワ,ルンガ
41,バアジ,キイニ,ルウナ,ペエタ,ドオゴ,ラッス,ガンサ
42,ザアセ,ジイム,ズウバ,メエナ,ノオチ,ラッド,プンク
43,ダアミ,ヒイジ,ユウノ,ゼエゴ,ポオナ,エップ,ハンペ
44,ワアナ,ジイミ,ムウセ,ケエト,モオサ,ダッカ,デンル
45,サアダ,ヒイラ,グウデ,ケエシ,コオロ,キッホ,ヌンメ
46,ガアヌ,ビイソ,ズウフ,ペエセ,モオコ,デッホ,クンキ
47,バアチ,ヒイネ,ブウテ,ペエノ,ヨオミ,クッヌ,タンケ
48,ヤアノ,リイキ,フウヒ,ヘエン,ヨオサ,クッケ,ガンワ
49,ハアス,ピイセ,グウノ,ケエザ,ゾオホ,カッワ,ギンフ
50,ザアソ,ジイブ,ユウパ,ネエク,ポオキ,ズッナ,ミンゼ
51,ザアヌ,ピイネ,スウル,ヘエシ,ホオハ,ゼッコ,ギンケ
52,ハアジ,リイゼ,ズウク,ベエダ,ホオガ,ヌッナ,ミンピ
53,ザアホ,ミイブ,ルウカ,レエバ,ヨオン,ゼッベ,ビンメ
54,バアゼ,キイク,スウレ,メエラ,ホオテ,アッモ,リンガ
55,ナアリ,ニイグ,ブウメ,ベエノ,ポオソ,ユッテ,サンヒ
56,ダアン,ヒイゴ,ヌウフ,デエハ,ボオサ,ユッネ,ニンド
57,パアキ,ミイズ,ムウベ,レエナ,ゴオゼ,ネッビ,ヤンロ
58,ハアシ,リイメ,ユウド,レエダ,ロオニ,ゼッチ,ヒンテ
59,ヤアル,ミイレ,フウデ,ベエド,ポオパ,ネッワ,ガンロ
60,ワアペ,ジイセ,グウボ,テエピ,ゾオケ,サッギ,ネンモ
61,バアギ,ピイサ,ヌウリ,デエマ,ノオポ,ヨッレ,インラ
62,ガアゴ,シイマ,ブウレ,デエン,ロオタ,ニッハ,ヒンム
63,タアリ,キイピ,ヌウザ,ケエコ,ボオマ,フッノ,ズンニ
64,ナアワ,チイロ,ズウガ,ゼエマ,コオタ,デッメ,パンヌ
65,ヤアラ,ピイマ,ズウン,ベエレ,ホオダ,テッバ,ネンプ
66,ヤアス,ヒイム,ルウデ,ペエシ,ノオメ,ネッバ,ホング
67,パアタ,キイネ,ズウワ,デエク,ゴオホ,ニッマ,リンロ
68,カアタ,シイハ,グウレ,ケエナ,モオチ,ヨッゼ,ランブ
69,バアフ,ミイン,ユウピ,ネエサ,ロオゴ,ケッベ,テンノ
70,ワアメ,チイリ,ユウハ,ゼエコ,ゾオム,ザック,ホンモ
71,ヤアロ,リイム,スウグ,ゼエヒ,ホオギ,エッラ,メンデ
72,ザアガ,リイホ,ルウバ,ベエニ,ドオタ,ヤッヌ,フンミ
73,パアミ,ニイセ,スウワ,レエボ,ドオソ,タッナ,ランベ
74,カアノ,ジイラ,ツウロ,テエハ,コオホ,イッム,ワンマ
75,ガアナ,リイコ,ユウプ,ケエミ,ボオタ,ザッネ,ペンメ
76,ナアネ,リイデ,ヌウワ,ベエサ,トオガ,モッハ,インケ
77,ナアト,ジイク,ルウゼ,ベエキ,ゾオワ,ケッロ,プンニ
78,ヤアゴ,ヒイケ,ユウザ,ネエド,ノオク,チッリ,ペンナ
79,ヤアゼ,シイボ,ヌウマ,ベエト,モオツ,ネッロ,ミンサ
80,バアル,ビイサ,ツウベ,ケエメ,ホオセ,リッガ,プンナ
81,サアニ,ミイプ,ツウセ,ケエタ,ノオソ,ラッレ,ネンリ
82,ガアレ,チイケ,スウミ,ベエギ,トオヌ,バッナ,ダンゼ
83,ガアハ,チイヒ,ズウダ,ゼエサ,ロオベ,モッギ,ユンメ
84,バアケ,ミイサ,ツウテ,ヘエポ,ソオニ,キッロ,グンル
85,ナアロ,キイダ,ツウヘ,セエム,ゴオシ,カッボ,ノンブ
86,バアサ,ミイス,クウポ,メエキ,ソオム,イッベ,フンワ
87,ザアカ,ジイギ,ユウネ,セエニ,ヨオヒ,ゲッコ,ズンク
88,ナアン,ニイヌ,ブウベ,メエグ,ホオネ,ズッワ,ダンノ
89,パアワ,ピイメ,フウケ,テエチ,モオダ,ゼッニ,ムンキ
90,ハアヘ,リイカ,フウク,セエナ,ドオホ,ノッヌ,ミンモ
91,ナアメ,ヒイグ,ブウサ,ネエバ,ヨオワ,ゼッキ,オンタ
92,バアテ,シイサ,クウメ,ヘエタ,ソオレ,アッギ,オンセ
93,ダアチ,ジイテ,グウセ,ヘエム,ヨオズ,リッラ,ゲンロ
94,ラアデ,ピイポ,クウプ,メエモ,ヨオベ,ケッギ,ネンハ
95,バアセ,ビイジ,ルウノ,ベエム,ロオポ,スッナ,サンダ
96,ヤアタ,ビイゼ,ヌウソ,メエザ,ホオナ,クッデ,ヘンム
97,ラアニ,シイル,ブウゼ,ベエケ,モオロ,ヨッム,ダンホ
98,ワアリ,ギイメ,スウブ,レエポ,ヨオゼ,ニッグ,ヌンド
99,ハアピ,ギイケ,スウデ,ヘエモ,ボオゼ,ノッメ,ヌンブ
100,ラアタ,リイマ,グウコ,デエネ,トオバ,イッガ,ルンモ
101,バアナ,キイミ,ヌウホ,ネエモ,ロオム,デッチ,クンゴ
102,ラアフ,ギイカ,ツウネ,デエメ,ポオル,グッレ,ムンペ
103,ハアギ,リイゴ,ムウフ,レエシ,ノオガ,ベッナ,ヤンニ
104,バアシ,ニイワ,ムウサ,ヘエメ,ボオテ,カッズ,ケンモ
105,バアコ,ビイテ,ヌウズ,ネエフ,ロオノ,マッレ,キンチ
106,ガアニ,ギイバ,ツウメ,デエモ,ホオズ,ベッチ,ヤンド
107,パアソ,キイズ,ブウヘ,デエワ,ヨオガ,ボッマ,アンセ
108,カアペ,ヒイニ,ルウゾ,メエタ,ロオホ,ドッワ,ザンテ
109,ヤアク,シイチ,ヌウロ,ペエレ,ドオニ,モッケ,ギンネ
110,タアカ,ニイレ,ヌウコ,ケエグ,ホオト,ラッザ,パンヘ
111,ラアセ,ジイカ,クウズ,ヘエナ,ソオロ,ポッヒ,ミンバ
112,ザアレ,ビイミ,ズウリ,テエム,ゴオメ,チッダ,ブンバ
113,カアヘ,ビイレ,グウス,メエケ,ソオモ,ヤッチ,ボンヌ
114,カアギ,ヒイパ,ブウリ,テエセ,モオワ,ゲッメ,ヤンホ
115,ヤアガ,ピイハ,ブウデ,ゼエル,ノオザ,オッベ,トンモ
116,サアク,シイギ,ルウチ,セエス,モオガ,ムッノ,バンフ
117,ワアボ,シイブ,グウタ,ペエナ,ソオテ,イッマ,ノンギ
118,ラアヌ,ニイム,ツウナ,メエネ,ノオピ,ヘック,オンケ
119,ラアズ,チイギ,ブウナ,セエロ,ホオバ,カッザ,ヨンデ
120,パアラ,リイレ,グウカ,ペエフ,ロオデ,メッビ,ゴンズ
121,ワアバ,ギイテ,ムウゾ,ベエメ,ホオピ,ヨッグ,ルンケ
122,ザアル,ニイパ,ヌウン,ヘエロ,ホオゴ,トッビ,ミンデ
123,ガアモ,リイヌ,ムウレ,ネエグ,ポオサ,バッケ,ノンル
124,サアカ,ピイホ,ズウモ,ベエゼ,ロオハ,ブッド,ダンル
125,ナアデ,ピイソ,ムウキ,ベエコ,ボオニ,ヤッブ,ワンラ
126,タアビ,ニイプ,グウジ,セエポ,ヨオヘ,メッム,ルンカ
127,ワアラ,キイリ,グウゴ,レエホ,ロオジ,メッダ,トンル
128,タアチ,ニイキ,ルウコ,ネエム,ゾオゼ,レッラ,バンザ
129,ナアヒ,ギイソ,ツウト,ゼエロ,ノオペ,リッタ,レンザ
130,ガアノ,ニイジ,ブウロ,ヘエド,ホオザ,ゼッヒ,ダング
131,ワアジ,チイソ,グウケ,セエハ,コオザ,マッモ,ルンタ
132,ナアゴ,キイソ,ユウダ,ケエネ,モオカ,ベッロ,ノンサ
133,ラアバ,ジイホ,ユウソ,ネエキ,ノオテ,スッヒ,ゴンヌ
134,タアテ,シイベ,クウケ,メエゴ,ノオヒ,ニッナ,ギンチ
135,ラアメ,キイワ,ブウズ,セエパ,ノオタ,ネッホ,ヨンガ
136,ヤアペ,ヒイメ,フウナ,ケエダ,ボオガ,ノッハ,ヌンテ
137,ザアラ,ミイヌ,ズウレ,デエツ,トオゾ,ナッボ,ガンノ
138,ザアフ,ピイタ,ユウケ,ネエリ,ボオベ,ズッマ,ランニ
139,カアツ,シイゴ,クウヘ,デエリ,ボオハ,ノッキ,ザンモ
140,ラアワ,チイヌ,ルウポ,ゼエヘ,モオプ,タッビ,ヤンム
141,ラアル,チイセ,ズウボ,レエケ,ゴオバ,ビッカ,ムンリ
142,パアペ,ミイダ,ユウゼ,レエメ,ポオテ,ヤッガ,ゲンネ
143,ザアリ,キイフ,ツウハ,ケエム,ヨオピ,ガッセ,ヌンヘ
144,ハアロ,ギイゼ,ブウザ,ケエラ,トオレ,ポック,ダンズ
145,ワアロ,シイデ,グウト,ベエゾ,モオザ,プッネ,メンリ
146,タアナ,ジイケ,クウバ,ヘエマ,ソオピ,ルッサ,スンニ
147,タアヌ,シイム,ルウザ,デエレ,トオビ,ナッブ,ガンセ
148,ラアシ,ピイナ,クウレ,ペエロ,ゴオン,チッハ,メンニ
149,カアフ,リイラ,ムウゴ,ケエヘ,ホオレ,ロッネ,パンテ
150,カアザ,ビイケ,ズウド,ペエキ,モオブ,ネッラ,メンレ
151,ナアモ,ビイギ,ムウメ,デエフ,ボオバ,ルッヌ,センワ
152,ガアフ,チイゼ,ルウソ,ペエネ,ポオス,ギッザ,モンメ
153,ヤアレ,ニイホ,ズウシ,ヘエネ,ソオワ,ヒッム,ダンメ
154,サアハ,ビイネ,クウペ,デエキ,ソオケ,ニッノ,ミンホ
155,ヤアワ,ヒイド,ヌウボ,ペエサ,ゴオハ,モッダ,ネンル
156,ハアネ,ギイル,ムウタ,テエメ,モオノ,ザッリ,インペ
157,カアワ,リイポ,グウン,ネエレ,トオモ,ロッブ,ムンチ
158,ハアセ,チイノ,グウラ,ネエジ,ゴオビ,ムッロ,ベンガ
159,パアレ,ヒイセ,フウネ,ペエソ,ボオラ,ギッデ,ケンメ
160,パアヌ,ミイゾ,ズウザ,テエク,ヨオホ,ゴッケ,ニンタ
161,サアミ,ジイツ,ムウチ,デエダ,ゾオレ,ラッセ,ピンモ
162,ラアレ,ギイセ,ブウシ,テエニ,ロオパ,ビッム,ガンゴ
163,カアグ,シイケ,ヌウサ,ベエリ,ドオナ,ムッレ,パンニ
164,ザアニ,ビイボ,フウダ,ベエマ,ヨオテ,リッナ,ロンレ
165,タアベ,ギイホ,ムウジ,テエヌ,ゾオフ,ズッモ,ドンリ
166,ワアパ,リイギ,ズウゾ,ゼエド,ロオフ,ヘッノ,ユンチ
167,ザアダ,シイホ,ユウヒ,ゼエメ,ノオゴ,キッパ,スンロ
168,サアコ,ギイワ,ツウス,デエカ,ゾオチ,ケッラ,パンロ
169,ハアソ,リイヒ,クウロ,セエツ,ボオネ,ベッケ,ナンド
170,ラアボ,ミイケ,ズウキ,セエテ,ゴオニ,ネッチ,ヤンビ
171,ハアゴ,ピイキ,グウマ,ネエヌ,モオン,スッペ,ムンメ
172,ナアタ,シイモ,クウサ,ヘエギ,ロオビ,ハッボ,リンノ
173,バアホ,リイモ,クウト,ペエケ,コオラ,ヨッネ,ルンワ
174,カアホ,シイソ,ツウン,ベエチ,モオス,ムッビ,ランメ
175,ハアサ,ニイポ,ムウモ,レエマ,ノオリ,ワッピ,キンヘ
176,タアソ,ヒイカ,ブウギ,ケエホ,ロオラ,デッペ,ヌンワ
177,ワアズ,ギイガ,クウミ,ケエニ,ボオビ,ヨッザ,ヘンゼ
178,ワアコ,ニイリ,ズウデ,ゼエギ,トオラ,ゲッタ,レンネ
179,タアピ,キイポ,ムウソ,メエチ,モオデ,ガッハ,ゴンレ
180,ガアヒ,ギイニ,ズウゴ,ベエザ,ヨオラ,メッデ,オンホ
181,サアゼ,ミイベ,ズウテ,ネエヒ,モオナ,ギッチ,プンラ
182,ダアナ,ギイボ,ツウゾ,デエセ,ヨオル,ゲック,メンブ
183,ダアコ,ピイリ,グウベ,セエプ,ゾオジ,オッボ,テンド
184,ワアシ,ギイラ,ツウサ,テエガ,ゾオロ,ヒッヘ,ポンナ
185,ワアス,キイザ,ツウゼ,ネエボ,モオゴ,イッナ,ルンピ
186,パアノ,ビイヘ,ヌウセ,メエツ,ゴオフ,チッロ,ボンダ
187,ハアテ,ジイヒ,ブウコ,ヘエグ,モオム,ズッタ,ボント
188,バアレ,ピイノ,ユウツ,ケエゼ,モオル,サッテ,トンム
189,バアラ,リイペ,グウミ,ネエメ,ゾオブ,ノッナ,レント
190,タアド,ピイカ,ユウク,ケエハ,ゾオス,ヤッボ,ブンム
191,パアフ,ミイペ,ルウケ,テエゾ,トオゼ,サッガ,ノンチ
192,ザアボ,ジイヌ,ムウニ,テエペ,ゾオヒ,ハッゼ,フンナ
193,ナアズ,ジイモ,クウノ,ケエセ,ゾオダ,ペッル,アンサ
194,ダアザ,チイパ,ムウツ,デエグ,ロオレ,カッホ,スンル
195,ナアザ,ビイデ,ムウコ,ペエホ,ロオミ,メッネ,ズンノ
196,ワアタ,ギイジ,フウポ,デエザ,コオペ,ゼッマ,ビンヌ
197,タアホ,キイペ,クウツ,テエゴ,ドオヒ,サッバ,センプ
198,ハアワ,ピイテ,スウペ,ネエチ,ソオホ,ケッガ,ブンド
199,バアネ,ヒイダ,ヌウモ,ペエス,ゾオセ,ヨッフ,ホンロ
200,ワアレ,リイス,クウジ,ベエラ,ポオマ,ゲッモ,ビンム
201,ダアス,キイカ,フウザ,ベエジ,ゴオヒ,ユッホ,エンチ
202,タアロ,シイヘ,ユウモ,レエパ,ノオコ,デッケ,ボンミ
203,ナアム,ピイヘ,ユウバ,セエサ,ゴオノ,ズッケ,ロンネ
204,ラアダ,ミイフ,ヌウポ,メエワ,ソオゼ,クッヘ,ロンバ
205,ナアシ,ピイミ,クウハ,ヘエレ,ヨオゾ,ポッコ,キンゼ
206,サアケ,リイピ,ヌウジ,デエル,ホオゼ,ワッギ,ランゴ
207,サアフ,ヒイバ,クウモ,デエケ,ロオコ,ヘッガ,ギンル
208,ダアゼ,ヒイミ,クウネ,メエマ,ロオン,オッレ,ズンラ
209,カアロ,ヒイホ,ツウニ,ペエコ,ソオパ,セッヌ,フンズ
210,ダアバ,ヒイク,ツウレ,ネエン,ポオヘ,テッブ,ヌンマ
211,ラアゾ,チイン,スウギ,ネエブ,ポオヒ,ペッヌ,ゼンメ
212,ハアヒ,ジイゼ,ユウン,テエタ,モオマ,グッワ,メンネ
213,サアス,ピイレ,ルウシ,メエリ,ドオベ,ヌッポ,ヨンゼ
214,サアキ,ニイヘ,ズウブ,レエノ,モオホ,ルッグ,タンセ
215,ナアチ,リイノ,ヌウト,ベエソ,ボオジ,ゼッデ,ミンプ
216,ナアツ,ビイス,ムウネ,レエチ,ゾオト,ゼッガ,ルンニ
217,ワアト,チイレ,ズウヘ,メエブ,ロオソ,ルッデ,ゲンモ
218,カアネ,キイゼ,ツウコ,レエモ,ボオザ,ヒッノ,ゲンル
219,ガアソ,チイグ,ルウジ,レエブ,トオペ,ズッギ,ニンリ
220,バアゴ,ビイラ,グウロ,テエツ,ポオモ,ヨッギ,サンナ
221,ワアテ,シイピ,グウハ,ゼエカ,ゴオモ,ニッブ,ノンボ
222,サアソ,ミイポ,ムウガ,テエバ,ノオワ,ヌッペ,センヒ
223,ガアメ,ヒイサ,スウシ,セエヘ,ゾオバ,マッナ,ミンキ
224,ダアゾ,リイセ,ツウギ,テエン,コオポ,ブッハ,ランロ
225,ナアコ,キイス,ムウグ,デエヌ,ボオレ,チッノ,ビンロ
226,タアケ,ヒイモ,ムウカ,セエヌ,コオブ,ハッサ,テンラ
227,バアク,チイタ,ムウビ,セエペ,ノオネ,ギッケ,ワンモ
228,バアキ,ヒイヌ,グウチ,ゼエガ,ホオミ,ユッワ,リンデ
229,カアダ,キイセ,ムウル,テエヘ,ロオメ,コッバ,エンプ
230,ザアヒ,ミイジ,フウワ,レエハ,ポオペ,ゴッヌ,メンロ
231,ナアペ,ビイゴ,ヌウカ,ネエプ,ドオク,テッマ,ダンザ
232,タアニ,ヒイツ,ムウワ,ゼエジ,ソオラ,ケッス,インリ
233,ガアシ,ヒイブ,グウム,メエペ,ボオチ,エッハ,ゴンノ
234,ハアリ,ジイデ,スウノ,セエラ,ゴオチ,ブッボ,ヘンキ
235,ラアテ,ギイヘ,ルウヌ,レエゼ,モオポ,ノッリ,ケンワ
236,カアデ,シイミ,ヌウペ,ゼエキ,ドオチ,メッポ,プンケ
237,タアネ,キイド,フウテ,メエゾ,モオペ,チッゴ,ムンノ
238,ワアミ,チイメ,ユウリ,ベエヒ,ゴオケ,ホッル,ランネ
239,ラアケ,シイザ,フウヌ,メエデ,ドオヘ,バッコ,ニンセ
240,ワアピ,ジイフ,ヌウヘ,テエノ,ゾオメ,エッボ,ランギ
241,ヤアシ,リイビ,ルウガ,デエサ,ボオブ,ムッゴ,センハ
